City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
6,Acajutla,SV,87.73,scattered clouds,13.5928,-89.8275,Laureles
7,Victoria,HK,87.33,few clouds,22.2855,114.1577,Mini Central
11,Daru,PG,75.94,broken clouds,-9.0763,143.2092,Daru Lodge
13,Grand Forks,US,82.78,few clouds,47.9417,-97.4337,Warrior Inn
14,Jamestown,US,89.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Dubti,ET,86.94,overcast clouds,11.7361,41.0853,degu Shiferaw
16,Saint Anthony,US,88.11,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
19,Narasannapeta,IN,82.94,overcast clouds,18.4167,84.05,AVK events and catering
20,Atuona,PF,77.65,scattered clouds,-9.8,-139.0333,Villa Enata
23,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Sri Aman,MY,75.25,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
27,Port-Cartier,CA,77.11,few clouds,50.0334,-66.8654,Le Q'Artier
31,Huilong,CN,83.93,light rain,31.8111,121.655,Hilton Garden Inn Qidong
35,Sabha,LY,89.4,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
41,Calhoun,US,89.65,broken clouds,42.2506,-85.0005,Quality Inn
48,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
49,Celestun,MX,88.39,clear sky,20.8667,-90.4,Posada Lilia
55,Canby,US,83.52,clear sky,45.2629,-122.6926,Canby Country Inn
56,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
61,Rapar,IN,82.96,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
63,Mazamari,PE,89.17,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
67,Kavieng,PG,81.01,light rain,-2.5744,150.7967,Nusa Island Retreat
71,Gasa,PS,80.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
73,Kudahuvadhoo,MV,80.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
74,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
85,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
86,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Ionia,US,88.29,overcast clouds,42.9873,-85.0711,American Inn & Suites
91,Sorong,ID,77.74,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
95,Mitu,CO,77.05,overcast clouds,1.1983,-70.1733,
98,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Siverek,TR,89.08,clear sky,37.755,39.3167,Mercan Hotel
103,Shelburne,CA,83.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
108,Manadhoo,MV,80.35,moderate rain,5.7667,73.3833,Bon Abri maldives
110,Klamath Falls,US,84.96,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
111,Mangan,IN,76.26,overcast clouds,27.5167,88.5333,Hotel Mout View
117,Half Moon Bay,US,82.53,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
120,Casambalangan,PH,81.97,clear sky,18.3765,122.1274,Villa Saturnina
121,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
124,Rock Island,US,85.14,clear sky,41.45,-90.5168,AmericInn by Wyndham Moline Airport/ Quad Cities
129,Martapura,ID,77.09,clear sky,-3.4167,114.85,Montana Hotel Syariah
132,Umm Kaddadah,SD,89.19,scattered clouds,13.6017,26.6876,
135,Guigue,VE,89.42,broken clouds,10.0853,-67.7792,La vasquereña
138,Poum,NC,75.09,overcast clouds,-20.2333,164.0167,
145,Sept-Iles,CA,77.43,broken clouds,50.2001,-66.3821,Comfort Inn
146,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Hobyo,SO,75.9,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
150,Katsuura,JP,77.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
151,Nagato,JP,76.12,overcast clouds,34.3833,131.2,いそう庵
155,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
157,Piacabucu,BR,76.39,broken clouds,-10.4056,-36.4344,Piaçabuçu News
158,Port Blair,IN,78.67,very heavy rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Bandarbeyla,SO,80.65,scattered clouds,9.4942,50.8122,JABIR HOTEL
163,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
165,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
173,Lucapa,AO,75.29,scattered clouds,-8.4192,20.7447,Lírio Mendes
174,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
175,Thinadhoo,MV,81.27,overcast clouds,0.5333,72.9333,
178,San Vicente,AR,79.02,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
185,Poso,ID,76.71,few clouds,-1.3959,120.7524,Hotel 77 Poso
190,Pompeu,BR,82.18,few clouds,-19.2244,-44.9353,
192,Sioux Lookout,CA,75.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
194,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
196,Basco,PH,85.42,clear sky,20.4487,121.9702,Nathaniel's Lodge
197,Gibsons,CA,77.09,clear sky,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
198,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
200,Sao Paulo Do Potengi,BR,82.51,scattered clouds,-5.895,-35.7628,Pousada Santa Clara
202,Upata,VE,81.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
208,San Ramon,US,84.65,clear sky,37.7799,-121.978,San Ramon Marriott
215,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
221,Buala,SB,78.44,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
222,Pembroke,CA,82.38,light rain,45.8168,-77.1162,Hillside Inn
224,Axim,GH,75.72,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
226,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,hotel la terminal
227,Baijiantan,CN,77.63,broken clouds,45.6333,85.1833,
228,Correntina,BR,87.15,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
230,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
232,Kieta,PG,77.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
234,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
235,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
237,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
240,Portland,US,83.95,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
242,Margate,GB,78.87,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
250,Riberalta,BO,89.8,few clouds,-10.9833,-66.1,Hotel Colonial
254,La Asuncion,VE,87.53,few clouds,11.0333,-63.8628,Colinas de Matasiete
256,Halifax,CA,82.89,few clouds,44.6453,-63.5724,Hotel Halifax
257,Resende,BR,76.03,broken clouds,-22.4689,-44.4467,Espigão Palace Hotel
258,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
260,Guerrero Negro,MX,80.6,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
262,Zabid,YE,85.15,overcast clouds,14.1951,43.3152,مغرب التريبه
263,Taft,IR,85.95,clear sky,31.7471,54.2088,عمارت ساعتی تفت
265,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
266,Elko,US,88.74,scattered clouds,41.0002,-115.5012,
268,Flagstaff,US,87.46,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
270,Marzuq,YE,80.42,overcast clouds,14.4,46.4667,
271,Macherla,IN,87.8,broken clouds,16.4833,79.4333,Vivek express
274,Sao Raimundo Nonato,BR,89.51,scattered clouds,-9.0153,-42.6994,Real Hotel
275,Touros,BR,80.47,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
283,Umm Lajj,SA,89.62,clear sky,25.0213,37.2685,Moon light Furnished Units
284,Dingle,PH,77.23,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Sao Filipe,CV,76.73,overcast clouds,14.8961,-24.4956,Hotel Xaguate
289,Mana,GF,83.21,few clouds,5.6592,-53.7767,LE SAMANA
297,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
300,Shingu,JP,75.13,overcast clouds,33.7333,135.9833,Shingu UI Hotel
304,Avera,US,85.51,few clouds,33.194,-82.5271,
305,Marcala,HN,76.48,broken clouds,14.15,-88.0333,INVEMEC Inversiones Emerita Claros
306,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
308,Catuday,PH,81.88,heavy intensity rain,16.2923,119.8062,Benjie's Kubo & Cottages
314,Ugoofaaru,MV,80.29,overcast clouds,5.6667,73.0,Ungoofaaru Inn
317,Tual,ID,78.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
319,Awjilah,LY,82.99,clear sky,29.1081,21.2869,المنزل
324,Vanimo,PG,75.25,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
326,Garowe,SO,80.29,overcast clouds,8.4054,48.4845,Curubo Hotel
328,Samarai,PG,79.92,scattered clouds,-10.6167,150.6667,Nuli Sapi
330,Baculin,PH,78.1,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
333,Aiken,US,81.19,overcast clouds,33.5835,-81.5998,Aiken Cottages
334,Gigmoto,PH,81.63,overcast clouds,13.7796,124.39,Cj's Travellers Inn
348,Jalandhar,IN,78.62,overcast clouds,31.3256,75.5792,Hotel Maharaja Residency
349,Astana,KZ,78.75,clear sky,51.1801,71.446,King Hotel Astana
350,Orbetello,IT,86.0,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
352,Kattivakkam,IN,84.07,overcast clouds,13.2167,80.3167,Euronova Freezer
359,Banda Aceh,ID,80.4,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
362,Bambui,BR,84.29,clear sky,-20.0064,-45.9769,Paulinelli Palace Hotel
363,Faanui,PF,77.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
365,Grand-Lahou,CI,75.02,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
367,Trancoso,MX,79.97,overcast clouds,22.7333,-102.3667,Ex Hacienda De Trancoso
370,Tukrah,LY,77.29,clear sky,32.5341,20.5791,Lagrota restaurant
371,Caucaia,BR,87.31,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
375,Lorengau,PG,79.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
382,Lakatoro,VU,79.03,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
388,Samaro,PK,85.32,broken clouds,25.2815,69.3965,M AFZAL GOURNAL STOR SAMARO
391,Tautira,PF,75.67,light rain,-17.7333,-149.15,Pension Oaoa
392,Finschhafen,PG,77.95,broken clouds,-6.6024,147.8681,Cossam Guest House
393,Villa Bruzual,VE,79.95,broken clouds,9.3328,-69.1208,hotel italia
403,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
406,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
408,Repatriacion,PY,81.88,few clouds,-25.5333,-55.95,CABAÑA BLANCA AURORA PADEL CLUB
409,Namatanai,PG,77.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
414,Bela,IN,84.92,moderate rain,25.9333,81.9833,Raj Bhawan
416,Guaraciaba Do Norte,BR,85.08,few clouds,-4.1669,-40.7475,Gospel Fazenda Park Hotel
418,Chacarita,CR,83.41,overcast clouds,9.9829,-84.7723,Cabinas La Fuente
423,Glendive,US,86.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
424,Tabou,CI,75.2,overcast clouds,4.423,-7.3528,hotêl doufoulougou
425,Noumea,NC,75.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
426,Coyah,GN,76.15,light rain,9.75,-13.4167,Motel Canal+
427,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
431,Le Vauclin,MQ,84.25,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
432,Pukhrayan,IN,82.45,light rain,26.2333,79.85,Raj Guest House And Restaurant.
435,Monte Carmelo,BR,81.93,clear sky,-18.7247,-47.4986,Park hotel
437,Gorom-Gorom,BF,87.62,overcast clouds,14.4439,-0.2361,
438,Sinnamary,GF,82.18,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
440,Padang,ID,76.28,light rain,-0.9492,100.3543,Mercure Padang
446,Wattegama,LK,75.25,overcast clouds,6.7989,81.4808,
455,Lata,PT,75.63,clear sky,40.1629,-8.3327,Casa Maquia
456,Nabinagar,BD,78.35,overcast clouds,23.8917,90.9733,ওমান হাউজ
457,Sur,OM,84.29,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
458,Marienburg,PL,75.11,clear sky,54.0359,19.0266,Hotel Centrum Malbork
461,Kadoma,JP,78.19,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
462,Carman,CA,80.67,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
470,Barra,BR,86.63,clear sky,-11.0894,-43.1417,Pousada Bahia
472,Cockburn Town,TC,82.04,clear sky,21.4612,-71.1419,Osprey Beach Hotel
473,Thoen,TH,75.99,overcast clouds,17.6129,99.2161,บ้านห้องนอน
477,Balkhash,KZ,76.15,clear sky,46.844,74.9804,Family
479,Tamandare,BR,76.64,few clouds,-8.7597,-35.1047,Pousada 100 Passos
484,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
489,Kapitan Ramon,PH,75.99,few clouds,10.7749,123.1256,LupaRiverside Resort
495,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
498,Bontang,ID,78.89,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
503,Kulhudhuffushi,MV,80.8,moderate rain,6.6221,73.07,Haajy Guest House 1
504,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
506,Conakry,GN,77.07,light rain,9.538,-13.6773,Riviera Royal Hotel
508,Salinopolis,BR,81.0,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
510,Salaga,GH,78.13,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
511,Broadstairs,GB,75.0,few clouds,51.3591,1.4394,Royal Albion Hotel
513,Bac Lieu,VN,79.68,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
514,Sao Jose Da Coroa Grande,BR,76.64,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
515,Jalu,LY,84.09,clear sky,29.0331,21.5482,صاحبة الفخامة
517,Nicoya,CR,82.47,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
521,Trairi,BR,82.92,overcast clouds,-3.2778,-39.2689,janelas do mar
523,Ismailia,EG,79.11,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
525,Abu Zabad,SD,81.14,overcast clouds,12.35,29.25,حامد محمد نور
530,Barra Patuca,HN,84.25,scattered clouds,15.8,-84.2833,
536,Pandan,PH,81.1,overcast clouds,14.0453,124.1694,Bonifacio Lodge
540,Nola,IT,86.92,clear sky,40.922,14.5329,Palazzo Giordano Bruno
545,Amapa,BR,81.18,overcast clouds,1.0,-52.0,
548,Sinjai,ID,75.02,scattered clouds,-5.1241,120.253,Wisma Sandika
549,Greensburg,US,89.26,clear sky,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
551,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
552,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
554,Veraval,IN,80.33,scattered clouds,20.9,70.3667,Lords Inn Somnath
555,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
556,Koulamoutou,GA,77.74,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
558,Sarankhola,BD,80.67,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
561,Obera,AR,80.82,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
564,Nobeoka,JP,77.97,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
565,Plaster Rock,CA,77.95,clear sky,46.9065,-67.39,Settler's Inn and Motel
570,Mbini,GQ,76.15,overcast clouds,1.574,9.6134,
572,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
573,Puerto Colombia,CO,89.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
575,Calama,CL,75.69,scattered clouds,-22.4667,-68.9333,Park Hotel Calama
578,Savannah Bight,HN,82.87,few clouds,16.45,-85.85,Villa on Dunbar Rock
580,Kirakira,SB,79.07,broken clouds,-10.4544,161.9205,SanBiz Lodge
581,Paraiso,CR,76.06,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
582,Dubrovnik,HR,82.04,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
583,Papara,BR,85.96,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
584,Goderich,CA,84.9,overcast clouds,43.7501,-81.7165,Harmony Inn
