City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Acapulco,MX,16.8634,-99.8901,87.62,70,40,8.05,scattered clouds,2022-07-20 18:27:50
1,Ushuaia,AR,-54.8,-68.3,31.66,93,100,24.16,light snow,2022-07-20 18:27:50
2,Punta Arenas,CL,-53.15,-70.9167,35.71,64,75,24.16,broken clouds,2022-07-20 18:27:50
3,Dikson,RU,73.5069,80.5464,44.02,67,10,21.52,clear sky,2022-07-20 18:27:51
4,Tsumeb,NA,-19.2333,17.7167,63.09,25,2,9.26,clear sky,2022-07-20 18:27:51
5,Albany,US,42.6001,-73.9662,95.04,45,6,3.74,clear sky,2022-07-20 18:24:12
6,Acajutla,SV,13.5928,-89.8275,87.73,57,36,7.18,scattered clouds,2022-07-20 18:27:51
7,Victoria,HK,22.2855,114.1577,87.33,85,24,4.0,few clouds,2022-07-20 18:24:08
8,Avarua,CK,-21.2078,-159.775,73.45,73,75,16.11,broken clouds,2022-07-20 18:27:52
9,Hobart,AU,-42.8794,147.3294,35.06,93,1,8.05,clear sky,2022-07-20 18:27:52
10,Lebu,CL,-37.6167,-73.65,53.22,96,100,11.21,overcast clouds,2022-07-20 18:27:53
11,Daru,PG,-9.0763,143.2092,75.94,93,66,12.12,broken clouds,2022-07-20 18:27:53
12,Broken Hill,AU,-31.95,141.4333,46.17,84,67,11.45,broken clouds,2022-07-20 18:24:23
13,Grand Forks,US,47.9417,-97.4337,82.78,57,20,13.8,few clouds,2022-07-20 18:23:11
14,Jamestown,US,42.097,-79.2353,89.19,54,75,13.8,broken clouds,2022-07-20 18:25:59
15,Dubti,ET,11.7361,41.0853,86.94,43,100,10.33,overcast clouds,2022-07-20 18:27:53
16,Saint Anthony,US,45.0205,-93.218,88.11,41,0,25.32,clear sky,2022-07-20 18:27:54
17,Hermanus,ZA,-34.4187,19.2345,44.8,69,4,3.91,clear sky,2022-07-20 18:27:54
18,Lasa,IT,46.6166,10.7002,72.48,81,72,3.42,broken clouds,2022-07-20 18:27:54
19,Narasannapeta,IN,18.4167,84.05,82.94,84,87,5.17,overcast clouds,2022-07-20 18:27:55
