City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tromso,NO,2022-07-19 18:00:41,69.6496,18.957,57.22,67,40,11.5
1,Snezhnogorsk,RU,2022-07-19 18:00:41,69.1933,33.2531,64.18,71,100,12.21
2,Longyearbyen,SJ,2022-07-19 18:00:41,78.2186,15.6401,51.64,82,40,3.44
3,Burns Lake,CA,2022-07-19 18:00:06,54.2331,-125.7533,63.36,45,40,10.49
4,Mar Del Plata,AR,2022-07-19 18:00:42,-38.0023,-57.5575,55.94,53,0,18.99
5,Maun,BW,2022-07-19 18:00:42,-19.9833,23.4167,56.34,52,14,6.8
6,Busselton,AU,2022-07-19 17:57:08,-33.65,115.3333,57.13,78,100,9.28
7,Airai,TL,2022-07-19 18:00:43,-8.9266,125.4092,53.11,84,58,3.2
8,Rikitea,PF,2022-07-19 18:00:43,-23.1203,-134.9692,74.01,71,1,10.02
9,Isangel,VU,2022-07-19 18:00:43,-19.55,169.2667,75.16,90,23,9.22
10,Albany,US,2022-07-19 17:58:14,42.6001,-73.9662,89.46,48,4,5.99
11,Cape Town,ZA,2022-07-19 17:56:32,-33.9258,18.4232,55.9,76,20,9.22
12,General Roca,AR,2022-07-19 18:00:44,-39.0333,-67.5833,57.61,30,39,15.46
13,Khonsa,IN,2022-07-19 18:00:44,27.0167,95.5667,69.24,96,98,2.24
14,Urdoma,RU,2022-07-19 18:00:45,61.7533,48.5442,61.75,98,100,6.04
15,Beringovskiy,RU,2022-07-19 18:00:45,63.05,179.3167,51.82,81,100,11.12
16,Jamestown,US,2022-07-19 18:00:09,42.097,-79.2353,87.06,49,3,5.01
17,Taoudenni,ML,2022-07-19 18:00:46,22.6783,-3.9836,111.06,6,1,5.32
18,Sao Filipe,CV,2022-07-19 18:00:46,14.8961,-24.4956,77.97,81,79,8.05
19,Najran,SA,2022-07-19 18:00:46,17.4924,44.1277,80.15,44,100,7.85
20,Bluff,NZ,2022-07-19 17:58:15,-46.6,168.3333,42.8,73,77,14.67
21,Kakching,IN,2022-07-19 18:00:47,24.4833,93.9833,71.58,96,100,2.24
22,Kavaratti,IN,2022-07-19 17:58:29,10.5669,72.642,81.16,81,100,21.83
23,Hobart,AU,2022-07-19 17:56:55,-42.8794,147.3294,40.86,89,40,3.44
24,Severo-Kurilsk,RU,2022-07-19 18:00:48,50.6789,156.125,51.31,97,91,11.03
25,Avarua,CK,2022-07-19 18:00:48,-21.2078,-159.775,71.65,68,40,4.61
26,San Fernando,PH,2022-07-19 18:00:48,15.0286,120.6898,78.24,90,17,2.51
27,Luderitz,NA,2022-07-19 17:58:24,-26.6481,15.1594,58.75,73,33,20.27
28,Aripuana,BR,2022-07-19 18:00:49,-9.1667,-60.6333,95.77,21,0,3.62
29,Norman Wells,CA,2022-07-19 17:59:37,65.282,-126.8329,59.04,88,100,5.75
30,Cascais,PT,2022-07-19 18:00:49,38.6979,-9.4215,78.62,57,20,21.85
31,Atuona,PF,2022-07-19 18:00:50,-9.8,-139.0333,77.67,64,68,11.88
32,Vila Velha,BR,2022-07-19 18:00:50,-20.3297,-40.2925,75.94,76,2,7.0
33,Lompoc,US,2022-07-19 18:00:50,34.6391,-120.4579,91.02,59,3,5.01
34,Puerto Ayora,EC,2022-07-19 18:00:51,-0.7393,-90.3518,71.55,89,83,7.0
35,Masterton,NZ,2022-07-19 18:00:51,-40.9597,175.6575,52.88,96,66,2.48
36,Castro,BR,2022-07-19 18:00:52,-24.7911,-50.0119,72.01,64,13,4.61
37,Punta Arenas,CL,2022-07-19 18:00:15,-53.15,-70.9167,41.11,80,66,13.73
38,Katsuura,JP,2022-07-19 18:00:52,35.1333,140.3,79.34,87,82,17.92
39,Cabedelo,BR,2022-07-19 18:00:52,-6.9811,-34.8339,78.57,74,23,17.67
40,Codrington,AU,2022-07-19 18:00:53,-38.2667,141.9667,36.39,95,2,7.9
41,Tahoua,NE,2022-07-19 18:00:53,14.8888,5.2692,89.76,45,57,9.44
42,Santiago,CL,2022-07-19 17:56:57,-33.4569,-70.6483,72.99,29,0,3.44
43,Cabo San Lucas,MX,2022-07-19 18:00:54,22.8909,-109.9124,93.61,65,59,7.27
44,Fairbanks,US,2022-07-19 18:00:54,64.8378,-147.7164,53.6,92,100,1.01
45,Mataura,NZ,2022-07-19 17:56:58,-46.1927,168.8643,42.48,90,99,3.65
46,Vaini,TO,2022-07-19 18:01:02,-21.2,-175.2,74.57,82,12,23.31
47,Tulum,MX,2022-07-19 18:00:07,20.2167,-87.4667,90.16,53,29,8.72
48,Komsomolskiy,UZ,2022-07-19 18:01:02,40.4272,71.7189,83.12,28,0,9.22
49,Ostrovnoy,RU,2022-07-19 18:01:02,68.0531,39.5131,51.19,91,100,11.88
50,Moree,AU,2022-07-19 18:01:03,-29.4667,149.85,44.02,83,5,8.28
51,Myre,NO,2022-07-19 18:01:03,69.1036,15.9492,58.01,79,20,5.23
52,Richards Bay,ZA,2022-07-19 18:01:04,-28.783,32.0377,73.35,56,0,11.65
53,Clyde River,CA,2022-07-19 17:57:02,70.4692,-68.5914,37.63,100,100,11.5
54,Castelo Branco,PT,2022-07-19 18:01:04,39.8222,-7.4909,88.0,32,1,11.59
55,Hermanus,ZA,2022-07-19 17:58:27,-34.4187,19.2345,47.8,74,27,4.43
56,Port Alfred,ZA,2022-07-19 18:01:05,-33.5906,26.891,61.18,90,54,4.0
57,Olinda,BR,2022-07-19 18:00:46,-8.0089,-34.8553,78.4,71,24,13.87
58,Reporoa,NZ,2022-07-19 18:01:06,-38.4333,176.35,54.41,98,100,1.5
59,Ponta Delgada,PT,2022-07-19 18:00:24,37.7333,-25.6667,72.32,83,75,9.22
60,Carnarvon,AU,2022-07-19 17:59:30,-24.8667,113.6333,64.71,60,5,10.38
61,Cayenne,GF,2022-07-19 18:00:08,4.9333,-52.3333,86.09,22,75,3.44
62,Kapaa,US,2022-07-19 18:01:07,22.0752,-159.319,78.12,82,57,4.0
63,Pitimbu,BR,2022-07-19 18:01:07,-7.4706,-34.8086,78.94,72,20,14.97
64,Margate,GB,2022-07-19 17:57:10,51.3813,1.3862,82.9,62,18,10.6
65,Souillac,MU,2022-07-19 18:01:07,-20.5167,57.5167,68.97,71,9,23.38
66,Midland,US,2022-07-19 17:56:15,31.9974,-102.0779,103.05,21,24,11.5
67,Ushuaia,AR,2022-07-19 18:01:08,-54.8,-68.3,36.55,90,95,5.99
68,Saint George,US,2022-07-19 18:00:28,37.1041,-113.5841,101.62,23,0,3.44
69,Prince Rupert,CA,2022-07-19 18:00:31,54.3161,-130.3201,53.69,100,100,3.44
70,Kafue,ZM,2022-07-19 18:01:08,-15.7691,28.1814,64.47,56,49,9.06
71,Harnosand,SE,2022-07-19 18:01:08,62.6323,17.9379,64.42,59,74,5.03
72,Klaksvik,FO,2022-07-19 18:01:09,62.2266,-6.589,52.72,87,100,11.5
73,Inuvik,CA,2022-07-19 18:00:30,68.3499,-133.7218,54.36,94,100,12.66
74,Barrow,US,2022-07-19 18:01:09,71.2906,-156.7887,44.62,70,0,5.75
75,Severnoye,RU,2022-07-19 18:01:10,56.3491,78.3619,55.04,89,33,4.72
76,El Reno,US,2022-07-19 18:01:10,35.5323,-97.955,107.04,26,0,9.22
77,Nemuro,JP,2022-07-19 17:57:02,43.3236,145.575,59.68,90,95,6.82
78,Hervey Bay,AU,2022-07-19 18:01:11,-25.2986,152.8535,63.43,82,20,15.28
79,Mitsamiouli,KM,2022-07-19 18:01:11,-11.3847,43.2844,76.35,69,19,10.69
80,Upernavik,GL,2022-07-19 17:57:04,72.7868,-56.1549,45.55,72,100,7.0
81,Bilibino,RU,2022-07-19 18:01:11,68.0546,166.4372,33.3,83,90,1.25
82,Pontianak,ID,2022-07-19 18:01:12,-0.0333,109.3333,78.78,88,20,3.44
83,Thongwa,MM,2022-07-19 18:01:12,16.7619,96.5278,80.76,88,100,7.54
84,Volyne,CZ,2022-07-19 18:01:13,49.1658,13.8862,79.38,63,1,5.23
85,Poum,NC,2022-07-19 18:01:14,-20.2333,164.0167,75.85,86,44,13.47
86,Shenjiamen,CN,2022-07-19 18:01:14,29.9576,122.298,77.49,96,100,11.5
87,Tiksi,RU,2022-07-19 18:01:14,71.6872,128.8694,33.87,95,100,16.84
88,Sitka,US,2022-07-19 18:01:15,57.0531,-135.33,58.6,80,73,3.89
89,Grindavik,IS,2022-07-19 18:01:15,63.8424,-22.4338,57.67,72,0,11.5
90,Ossora,RU,2022-07-19 18:01:23,59.2353,163.0719,60.24,89,94,2.46
91,State College,US,2022-07-19 17:56:48,40.7934,-77.86,88.59,53,4,7.0
92,At-Bashi,KG,2022-07-19 18:01:23,41.1702,75.8106,55.08,60,55,3.96
93,Toamasina,MG,2022-07-19 18:01:23,-18.1667,49.3833,67.5,85,9,10.02
94,Santa Maria,BR,2022-07-19 18:01:24,-29.6842,-53.8069,60.84,70,40,8.59
95,Bathsheba,BB,2022-07-19 18:01:24,13.2167,-59.5167,85.05,83,75,19.57
96,Provideniya,RU,2022-07-19 18:01:24,64.3833,-173.3,43.9,69,100,2.3
97,Muzaffarabad,PK,2022-07-19 18:01:25,34.37,73.4711,82.9,71,97,3.62
98,Port Augusta,AU,2022-07-19 18:01:25,-32.5,137.7667,40.05,73,52,7.65
99,Fortuna,US,2022-07-19 18:01:25,40.5982,-124.1573,59.67,78,41,6.38
100,Tommot,RU,2022-07-19 18:01:26,58.9564,126.2925,61.3,98,100,3.49
101,Nome,US,2022-07-19 18:01:26,64.5011,-165.4064,43.16,81,85,15.43
102,Redmond,US,2022-07-19 18:01:22,47.674,-122.1215,75.88,67,3,3.0
103,Arlit,NE,2022-07-19 18:01:27,18.7369,7.3853,84.56,48,89,24.2
104,Asau,RO,2022-07-19 18:01:27,46.4333,26.4,76.28,54,96,4.23
105,Ivanovka,KG,2022-07-19 18:01:27,42.8878,75.085,70.75,35,18,4.94
106,Dikson,RU,2022-07-19 18:01:27,73.5069,80.5464,45.0,82,92,14.32
107,Butaritari,KI,2022-07-19 18:01:28,3.0707,172.7902,81.01,80,56,16.15
108,Tessalit,ML,2022-07-19 18:01:28,20.1986,1.0114,93.61,29,67,8.59
109,San Matias,BO,2022-07-19 18:01:28,-16.3667,-58.4,96.57,18,80,4.79
110,Tabou,CI,2022-07-19 18:01:29,4.423,-7.3528,76.19,68,97,7.61
111,Bubaque,GW,2022-07-19 18:01:29,11.2833,-15.8333,77.67,87,100,13.78
112,Sinnamary,GF,2022-07-19 18:01:29,5.3833,-52.95,80.01,82,82,8.88
113,Rumonge,BI,2022-07-19 18:01:30,-3.9736,29.4386,74.37,54,57,4.52
